id,price,year,manufacturer,model,condition,odometer,title_status,vin,type,lat,long
15618,1661,83,12,3707,1,249,0,1772,12,146,1695
15595,370,71,37,1011,0,7748,0,5110,10,341,1706
15594,75,56,7,3069,0,4779,0,2,0,481,1650
15200,737,77,12,1651,1,7216,0,1165,1,263,1663
15590,332,72,12,1625,1,7019,0,1055,1,319,1736
15586,1620,83,12,3713,1,2104,0,1756,12,146,1695
15578,764,79,29,781,1,2204,0,3313,0,288,1758
15571,787,77,20,3418,3,4779,0,2,1,357,1761
15570,210,71,30,2090,0,6642,0,1941,4,341,1706
15567,491,77,37,1237,3,4779,0,2,10,357,1761
15564,378,77,9,1083,3,4779,0,2,10,357,1761
15561,526,79,20,3429,1,4779,0,2,1,357,1761
15560,249,71,15,760,0,7952,0,2,0,231,1746
15554,1685,79,12,1711,0,4779,0,2,0,175,1691
15547,73,64,15,733,3,7753,0,2,4,286,1623
15542,979,76,9,1068,3,3522,0,3340,4,319,1736
15541,456,71,1,2563,1,4779,0,2,0,472,1590
15540,362,78,20,3426,3,6305,0,7084,5,319,1736
15538,329,72,9,1041,0,6982,0,689,13,341,1706
15537,149,67,38,2187,3,8237,0,2,4,495,1552
15510,1144,79,25,942,0,3035,0,7680,10,276,1816
15311,114,62,15,1258,0,8398,0,2,0,288,1758
15508,403,72,12,1657,0,7068,0,1127,1,341,1706
15506,567,67,32,189,0,8276,0,2,0,122,1815
15504,614,76,37,2857,3,6547,0,6628,0,209,1636
15499,567,78,1,3651,3,6814,0,50,0,140,1602
15489,391,78,8,116,3,5310,0,111,0,209,1636
15474,1095,70,12,2647,1,412,0,3252,4,146,1695
15466,210,67,19,2424,0,7575,0,2921,1,341,1706
15464,321,77,29,776,1,5458,0,2,0,326,1826
15460,362,71,34,2759,3,6290,0,5342,6,319,1736
15458,504,75,24,2545,1,4695,0,6321,5,319,1736
15441,188,68,4,255,1,6438,0,7441,10,1307,1268
15438,403,72,29,3011,0,5917,0,6462,13,341,1706
15427,1696,83,7,1678,1,640,0,2027,12,146,1695
15380,1203,75,37,3540,0,5897,0,5703,9,276,1816
15378,362,71,38,859,1,4779,0,2,4,272,1630
15341,567,72,13,3130,1,7710,0,2,12,175,1691
15340,509,76,20,3415,1,6558,0,5915,1,319,1736
15377,179,68,26,3113,0,7231,0,3005,8,341,1706
15376,849,71,37,3769,3,6424,0,5791,11,319,1736
15375,296,72,38,2931,3,5976,0,7840,5,319,1736
15370,332,72,12,1625,1,7019,0,1055,1,319,1736
15361,510,70,15,1150,3,7032,0,3853,4,319,1736
15356,362,73,38,2929,1,4779,0,2,5,272,1630
15349,273,77,24,202,0,4779,0,2,0,175,1691
15345,157,69,38,2768,0,4779,0,2,0,175,1691
15339,924,80,7,1568,1,3873,0,3764,1,323,1705
15338,219,71,38,2768,0,4779,0,2,0,175,1691
15337,332,73,29,3842,3,1948,0,4651,5,319,1736
15333,1736,81,37,3784,3,4463,0,5745,11,319,1736
15330,337,78,9,844,1,4779,0,2,10,272,1630
15319,411,76,15,1122,1,4779,0,2,4,272,1630
15318,165,72,29,775,0,8119,0,2,0,288,1758
15327,179,64,12,1640,0,4779,0,1188,1,341,1706
15326,179,68,34,3856,0,6705,0,5339,1,341,1706
15325,255,70,19,2424,0,6280,0,2919,1,341,1706
15320,352,71,12,1601,0,4616,0,1048,1,341,1706
15313,848,71,37,1954,1,8454,0,2,0,653,1499
15310,269,72,37,3193,3,7859,0,2,0,422,1511
15295,764,77,37,1011,1,4678,0,5080,0,1570,349
15290,179,66,15,1122,0,4779,0,2817,4,341,1706
15289,614,76,25,942,1,4779,0,2,10,278,1640
15284,391,67,7,3573,1,8119,0,2447,1,320,1738
15283,391,76,7,1289,1,6249,0,1878,10,320,1738
15280,1136,84,7,1298,1,267,0,1829,10,323,1705
15278,687,78,38,2322,3,2885,0,2,13,278,1640
15277,600,77,38,2323,3,4773,0,2,13,278,1640
15274,296,67,12,1801,3,3758,0,2,11,475,1565
15270,647,71,22,2472,3,6347,0,2,10,234,1585
15268,97,65,24,3739,3,6764,0,4874,1,350,1811
15260,179,68,15,733,0,4779,0,2724,10,341,1706
15199,408,66,7,3575,1,8326,0,2449,1,263,1663
15258,969,72,13,4018,1,4911,0,2,1,278,1640
15257,1362,78,37,340,0,7463,0,6668,13,269,1719
15256,1362,75,37,340,0,6531,0,6695,13,269,1719
15254,1429,1,12,2604,1,322,0,28,4,140,1602
15255,887,77,7,3488,0,7948,0,2530,1,269,1719
15253,1067,77,32,0,0,5732,0,414,9,269,1719
15252,1116,71,13,4010,0,5210,0,2356,1,269,1719
15251,802,72,7,3573,0,7121,0,2457,1,269,1719
15250,1039,76,29,806,0,6389,0,5430,13,269,1719
15249,1241,73,13,3201,0,4966,0,4501,9,269,1719
15245,172,69,12,1601,3,7267,0,2,1,390,1654
15241,1391,82,12,1711,3,3198,1,1588,11,175,1691
15240,1233,78,12,1497,0,3527,0,3588,0,229,1692
15239,1585,81,19,2151,0,1963,0,358,0,229,1692
15238,805,80,20,2009,0,2957,0,7047,0,229,1692
15237,880,81,7,1289,0,4329,0,1831,0,229,1692
